Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Demand_Supply_Ratio,Demand_class,Supply_class,base_cost,demand_supply_factor,Peak_hour,S/D_surge_charge,Vehical_charge,Location_time_surge,loyalty_discount,New_cost
86,17,Urban,Regular,99,4.69,Morning,Economy,167,669.2986264658781,5.0588235294117645,Higher_demand,Lower_supply,584.5,4.0588235294117645,Peak hours,830.3338235294117,14.6125,58.45,5.845,1482.0513235294118
60,38,Rural,Gold,15,4.14,Evening,Premium,144,414.9901047325251,1.5789473684210527,Lower_demand,Higher_supply,504.0,0.5789473684210527,low peak,0.0,25.200000000000003,0.0,50.400000000000006,478.80000000000007
24,8,Rural,Gold,50,4.12,Morning,Economy,164,490.41072171830416,3.0,Higher_demand,Lower_supply,574.0,2.0,low peak,401.79999999999995,14.350000000000001,0.0,57.400000000000006,932.75
36,24,Suburban,Silver,88,4.22,Night,Premium,83,296.24287599192223,1.5,Lower_demand,Higher_supply,290.5,0.5,low peak,0.0,14.525,0.0,14.525,290.5
63,13,Rural,Regular,74,4.95,Afternoon,Premium,102,327.0888648717375,4.846153846153846,Higher_demand,Lower_supply,357.0,3.846153846153846,Peak hours,480.57692307692304,17.85,10.709999999999999,3.5700000000000003,862.5669230769231
39,12,Urban,Silver,30,4.51,Afternoon,Premium,140,445.1368684239125,3.25,Higher_demand,Lower_supply,490.0,2.25,Peak hours,385.875,24.5,49.0,24.5,924.875
38,28,Rural,Silver,35,3.93,Afternoon,Premium,54,244.5361718306458,1.3571428571428572,Lower_demand,Higher_supply,189.0,0.3571428571428572,low peak,0.0,9.450000000000001,0.0,9.450000000000001,189.0
46,14,Suburban,Silver,21,4.71,Afternoon,Economy,15,47.31430863361691,3.2857142857142856,Higher_demand,Lower_supply,52.5,2.2857142857142856,Peak hours,42.0,1.3125,2.625,2.625,95.8125
33,7,Suburban,Gold,49,4.31,Evening,Premium,22,129.8082629093964,4.714285714285714,Higher_demand,Lower_supply,77.0,3.7142857142857144,Peak hours,100.10000000000001,3.85,3.85,7.7,177.10000000000002
31,7,Suburban,Silver,24,4.82,Evening,Premium,87,382.9481103198511,4.428571428571429,Higher_demand,Lower_supply,304.5,3.428571428571429,Peak hours,365.4,15.225000000000001,15.225000000000001,15.225000000000001,685.125
96,45,Urban,Regular,6,4.95,Afternoon,Premium,11,82.77279318243978,2.1333333333333333,Lower_demand,Higher_supply,38.5,1.1333333333333333,low peak,0.0,1.925,0.0,0.385,40.04
22,11,Suburban,Silver,79,4.48,Night,Economy,15,64.07117255500656,2.0,Lower_demand,Higher_supply,52.5,1.0,low peak,0.0,1.3125,0.0,2.625,51.1875
74,16,Rural,Regular,6,3.97,Morning,Economy,139,390.6687658288554,4.625,Higher_demand,Lower_supply,486.5,3.625,Peak hours,617.2468749999999,12.162500000000001,14.594999999999999,4.865,1125.6393749999997
24,12,Urban,Regular,10,3.6,Evening,Premium,45,212.16652497375452,2.0,Lower_demand,Higher_supply,157.5,1.0,low peak,0.0,7.875,0.0,1.575,163.8
48,19,Suburban,Gold,72,3.81,Night,Premium,65,235.65813370551408,2.526315789473684,Higher_demand,Lower_supply,227.5,1.526315789473684,low peak,121.53289473684208,11.375,0.0,22.75,337.6578947368421
56,13,Rural,Regular,36,4.81,Evening,Economy,162,406.5574980533908,4.3076923076923075,Higher_demand,Lower_supply,567.0,3.3076923076923075,Peak hours,656.4115384615384,14.175,17.009999999999998,5.67,1248.9265384615383
72,33,Rural,Gold,66,4.39,Morning,Premium,30,182.4744270596517,2.1818181818181817,Lower_demand,Higher_supply,105.0,1.1818181818181817,low peak,0.0,5.25,0.0,10.5,99.75
97,75,Urban,Silver,76,4.7,Night,Economy,158,652.617297300081,1.2933333333333332,Lower_demand,Higher_supply,553.0,0.2933333333333332,low peak,0.0,13.825000000000001,0.0,27.650000000000002,539.1750000000001
62,33,Suburban,Regular,39,3.91,Evening,Premium,129,403.22709836941993,1.878787878787879,Lower_demand,Higher_supply,451.5,0.8787878787878789,low peak,0.0,22.575000000000003,0.0,4.515,469.56
57,38,Suburban,Silver,54,4.1,Night,Premium,131,537.7848594528473,1.5,Lower_demand,Higher_supply,458.5,0.5,low peak,0.0,22.925,0.0,22.925,458.5
25,7,Suburban,Silver,13,3.99,Morning,Premium,81,286.13145256368455,3.5714285714285716,Higher_demand,Lower_supply,283.5,2.5714285714285716,Peak hours,255.15,14.175,14.175,14.175,552.8249999999999
75,56,Suburban,Gold,94,4.79,Evening,Premium,153,485.0546633356366,1.3392857142857142,Lower_demand,Higher_supply,535.5,0.3392857142857142,low peak,0.0,26.775000000000002,0.0,53.550000000000004,508.72499999999997
39,9,Urban,Gold,39,4.64,Afternoon,Premium,48,171.0859835160851,4.333333333333333,Higher_demand,Lower_supply,168.0,3.333333333333333,Peak hours,195.99999999999997,8.4,16.8,16.8,372.4
35,24,Suburban,Gold,73,3.76,Evening,Premium,105,485.8784537318511,1.4583333333333333,Lower_demand,Higher_supply,367.5,0.45833333333333326,low peak,0.0,18.375,0.0,36.75,349.125
68,32,Suburban,Regular,34,3.58,Morning,Economy,77,294.7328864777875,2.125,Lower_demand,Higher_supply,269.5,1.125,low peak,0.0,6.737500000000001,0.0,2.695,273.5425
96,43,Rural,Silver,97,3.68,Morning,Premium,91,392.83872040801793,2.2325581395348837,Lower_demand,Higher_supply,318.5,1.2325581395348837,low peak,0.0,15.925,0.0,15.925,318.5
28,11,Suburban,Gold,52,4.33,Afternoon,Premium,94,456.1809467866996,2.5454545454545454,Higher_demand,Lower_supply,329.0,1.5454545454545454,low peak,177.95909090909092,16.45,0.0,32.9,490.509090909091
25,15,Rural,Gold,65,4.88,Evening,Premium,101,502.5293207873477,1.6666666666666667,Lower_demand,Higher_supply,353.5,0.6666666666666667,low peak,0.0,17.675,0.0,35.35,335.825
28,6,Suburban,Regular,2,4.29,Morning,Economy,89,244.21766165291973,4.666666666666667,Higher_demand,Lower_supply,311.5,3.666666666666667,Peak hours,399.7583333333334,7.7875000000000005,15.575000000000001,3.115,731.5058333333335
73,17,Rural,Regular,14,4.81,Evening,Premium,170,634.7265312250814,4.294117647058823,Higher_demand,Lower_supply,595.0,3.2941176470588234,Peak hours,685.9999999999999,29.75,17.849999999999998,5.95,1322.6499999999999
36,18,Urban,Silver,88,3.73,Night,Premium,92,345.40676830595487,2.0,Lower_demand,Higher_supply,322.0,1.0,low peak,0.0,16.1,0.0,16.1,322.0
56,10,Urban,Silver,55,4.5,Night,Economy,45,151.15212964816465,5.6,Higher_demand,Lower_supply,157.5,4.6,Peak hours,253.575,3.9375,15.75,7.875,422.8875
97,81,Suburban,Regular,52,4.56,Evening,Economy,125,530.7599938912294,1.1975308641975309,Lower_demand,Higher_supply,437.5,0.19753086419753085,low peak,0.0,10.9375,0.0,4.375,444.0625
63,9,Rural,Regular,89,3.87,Afternoon,Premium,166,482.85016419959805,7.0,Higher_demand,Lower_supply,581.0,6.0,Peak hours,1220.0999999999997,29.05,17.43,5.8100000000000005,1841.7699999999998
78,33,Urban,Silver,35,4.46,Morning,Premium,116,355.9595074862448,2.3636363636363638,Higher_demand,Lower_supply,406.0,1.3636363636363638,low peak,193.77272727272728,20.3,0.0,20.3,599.7727272727273
29,10,Suburban,Regular,25,3.77,Afternoon,Economy,91,303.9609626071891,2.9,Higher_demand,Lower_supply,318.5,1.9,low peak,211.80249999999998,7.9625,0.0,3.185,535.08
73,33,Suburban,Silver,60,3.88,Night,Premium,161,514.8771742414517,2.212121212121212,Lower_demand,Higher_supply,563.5,1.212121212121212,low peak,0.0,28.175,0.0,28.175,563.5
94,29,Urban,Regular,67,3.59,Evening,Premium,96,361.13235495172165,3.2413793103448274,Higher_demand,Lower_supply,336.0,2.2413793103448274,Peak hours,263.5862068965517,16.8,33.6,3.36,646.6262068965516
54,28,Suburban,Silver,83,4.49,Night,Economy,32,80.26246462184758,1.9285714285714286,Lower_demand,Higher_supply,112.0,0.9285714285714286,low peak,0.0,2.8000000000000003,0.0,5.6000000000000005,109.2
67,6,Rural,Gold,15,3.53,Night,Economy,123,420.6239113101238,11.166666666666666,Higher_demand,Lower_supply,430.5,7.0,Peak hours,1054.725,10.762500000000001,12.915,43.050000000000004,1465.8525
23,8,Urban,Silver,27,4.73,Afternoon,Economy,117,520.8926706123274,2.875,Higher_demand,Lower_supply,409.5,1.875,low peak,268.734375,10.2375,0.0,20.475,667.9968749999999
70,14,Urban,Silver,16,4.3,Morning,Economy,53,183.07579104191225,5.0,Higher_demand,Lower_supply,185.5,4.0,Peak hours,259.7,4.6375,18.55,9.275,459.1125
20,10,Rural,Silver,70,4.92,Evening,Economy,65,190.13746358777752,2.0,Lower_demand,Higher_supply,227.5,1.0,low peak,0.0,5.6875,0.0,11.375,221.8125
95,84,Suburban,Gold,18,3.86,Afternoon,Premium,112,522.3021028701461,1.130952380952381,Lower_demand,Higher_supply,392.0,0.13095238095238093,low peak,0.0,19.6,0.0,39.2,372.40000000000003
43,16,Urban,Silver,40,4.89,Night,Premium,106,410.6863449474928,2.6875,Higher_demand,Lower_supply,371.0,1.6875,low peak,219.121875,18.55,0.0,18.55,590.121875
97,55,Suburban,Silver,94,4.62,Evening,Premium,150,584.9958711291002,1.7636363636363637,Lower_demand,Higher_supply,525.0,0.7636363636363637,low peak,0.0,26.25,0.0,26.25,525.0
32,20,Rural,Silver,44,3.55,Night,Economy,68,301.62262644973293,1.6,Lower_demand,Higher_supply,238.0,0.6000000000000001,low peak,0.0,5.95,0.0,11.9,232.04999999999998
95,25,Suburban,Regular,72,4.16,Morning,Premium,128,413.5870840445325,3.8,Higher_demand,Lower_supply,448.0,2.8,Peak hours,439.03999999999996,22.400000000000002,22.400000000000002,4.48,927.3599999999999
47,15,Urban,Gold,14,4.84,Night,Economy,89,273.11810461931896,3.1333333333333333,Higher_demand,Lower_supply,311.5,2.1333333333333333,low peak,232.58666666666664,7.7875000000000005,0.0,31.150000000000002,520.7241666666666
25,11,Rural,Silver,33,3.85,Night,Economy,94,247.1745626508575,2.272727272727273,Lower_demand,Higher_supply,329.0,1.272727272727273,low peak,0.0,8.225,0.0,16.45,320.77500000000003
37,22,Rural,Regular,76,4.72,Afternoon,Economy,69,213.4432507972432,1.6818181818181819,Lower_demand,Higher_supply,241.5,0.6818181818181819,low peak,0.0,6.0375000000000005,0.0,2.415,245.1225
59,39,Suburban,Gold,49,3.78,Morning,Premium,98,295.79438015283176,1.5128205128205128,Lower_demand,Higher_supply,343.0,0.5128205128205128,low peak,0.0,17.150000000000002,0.0,34.300000000000004,325.84999999999997
42,20,Urban,Silver,88,4.64,Night,Premium,29,145.0698091748401,2.1,Lower_demand,Higher_supply,101.5,1.1,low peak,0.0,5.075,0.0,5.075,101.5
53,11,Rural,Regular,2,3.5,Afternoon,Premium,81,297.0186264188845,4.818181818181818,Higher_demand,Lower_supply,283.5,3.8181818181818183,Peak hours,378.8590909090909,14.175,8.504999999999999,2.835,682.2040909090908
79,64,Rural,Regular,91,4.57,Night,Economy,164,666.6870291344428,1.234375,Lower_demand,Higher_supply,574.0,0.234375,low peak,0.0,14.350000000000001,0.0,5.74,582.61
59,23,Urban,Gold,41,4.97,Evening,Premium,91,449.5456339145253,2.5652173913043477,Higher_demand,Lower_supply,318.5,1.5652173913043477,low peak,174.48260869565215,15.925,0.0,31.85,477.05760869565216
40,29,Urban,Regular,72,4.3,Afternoon,Economy,147,624.9860100296204,1.3793103448275863,Lower_demand,Higher_supply,514.5,0.3793103448275863,low peak,0.0,12.8625,0.0,5.1450000000000005,522.2175
76,40,Suburban,Silver,77,4.17,Morning,Economy,28,96.03520851587072,1.9,Lower_demand,Higher_supply,98.0,0.8999999999999999,low peak,0.0,2.45,0.0,4.9,95.55
41,26,Urban,Regular,96,3.91,Night,Economy,169,637.7593915947267,1.5769230769230769,Lower_demand,Higher_supply,591.5,0.5769230769230769,low peak,0.0,14.787500000000001,0.0,5.915,600.3725000000001
83,14,Urban,Regular,80,4.77,Night,Premium,64,295.5887110300315,5.928571428571429,Higher_demand,Lower_supply,224.0,4.928571428571429,Peak hours,386.40000000000003,11.200000000000001,22.400000000000002,2.24,641.7600000000001
44,17,Rural,Regular,15,4.0,Evening,Economy,98,353.33854512223814,2.588235294117647,Higher_demand,Lower_supply,343.0,1.5882352941176472,low peak,190.66764705882355,8.575000000000001,0.0,3.43,538.8126470588237
91,73,Urban,Gold,61,4.39,Night,Economy,15,62.25429041832141,1.2465753424657535,Lower_demand,Higher_supply,52.5,0.24657534246575352,low peak,0.0,1.3125,0.0,5.25,48.5625
54,16,Suburban,Regular,8,4.5,Afternoon,Premium,67,266.0685899337195,3.375,Higher_demand,Lower_supply,234.5,2.375,Peak hours,194.928125,11.725000000000001,11.725000000000001,2.345,450.53312500000004
59,37,Rural,Silver,86,4.67,Night,Premium,95,340.1282671016029,1.5945945945945945,Lower_demand,Higher_supply,332.5,0.5945945945945945,low peak,0.0,16.625,0.0,16.625,332.5
72,43,Suburban,Gold,28,4.87,Afternoon,Economy,132,443.258155352454,1.6744186046511629,Lower_demand,Higher_supply,462.0,0.6744186046511629,low peak,0.0,11.55,0.0,46.2,427.35
47,9,Rural,Gold,49,4.44,Evening,Economy,96,265.05527443495566,5.222222222222222,Higher_demand,Lower_supply,336.0,4.222222222222222,Peak hours,496.5333333333333,8.4,10.08,33.6,817.4133333333333
32,22,Rural,Silver,49,4.65,Night,Economy,60,221.4343854791753,1.4545454545454546,Lower_demand,Higher_supply,210.0,0.4545454545454546,low peak,0.0,5.25,0.0,10.5,204.75
45,13,Rural,Regular,96,4.84,Night,Economy,112,393.2308288248255,3.4615384615384617,Higher_demand,Lower_supply,392.0,2.4615384615384617,low peak,337.7230769230769,9.8,0.0,3.92,735.6030769230769
72,45,Urban,Silver,82,4.42,Night,Premium,40,151.58040412487964,1.6,Lower_demand,Higher_supply,140.0,0.6000000000000001,low peak,0.0,7.0,0.0,7.0,140.0
56,15,Urban,Gold,34,4.72,Night,Premium,78,313.9950046053331,3.7333333333333334,Higher_demand,Lower_supply,273.0,2.7333333333333334,Peak hours,261.17,13.65,27.3,27.3,547.82
42,22,Rural,Silver,67,3.81,Afternoon,Premium,82,366.1515260551269,1.9090909090909092,Lower_demand,Higher_supply,287.0,0.9090909090909092,low peak,0.0,14.350000000000001,0.0,14.350000000000001,287.0
52,14,Suburban,Silver,87,3.54,Afternoon,Premium,98,425.97356882411634,3.7142857142857144,Higher_demand,Lower_supply,343.0,2.7142857142857144,Peak hours,325.84999999999997,17.150000000000002,17.150000000000002,17.150000000000002,685.9999999999999
81,23,Urban,Gold,39,4.3,Evening,Economy,143,359.0531279855558,3.5217391304347827,Higher_demand,Lower_supply,500.5,2.5217391304347827,Peak hours,441.7456521739131,12.512500000000001,50.050000000000004,50.050000000000004,954.7581521739131
77,25,Rural,Regular,70,4.27,Afternoon,Premium,52,260.34417984860374,3.08,Higher_demand,Lower_supply,182.0,2.08,low peak,132.496,9.1,0.0,1.82,321.776
27,6,Urban,Gold,2,4.42,Night,Economy,86,320.30170917475425,4.5,Higher_demand,Lower_supply,301.0,3.5,Peak hours,368.72499999999997,7.525,30.1,30.1,677.2499999999999
74,34,Rural,Regular,18,4.66,Morning,Premium,140,454.49212153190336,2.176470588235294,Lower_demand,Higher_supply,490.0,1.176470588235294,low peak,0.0,24.5,0.0,4.9,509.6
92,69,Urban,Silver,88,4.69,Afternoon,Economy,18,45.11502370436019,1.3333333333333333,Lower_demand,Higher_supply,63.0,0.33333333333333326,low peak,0.0,1.5750000000000002,0.0,3.1500000000000004,61.425000000000004
77,34,Rural,Gold,33,4.13,Night,Premium,48,223.6621142931812,2.264705882352941,Lower_demand,Higher_supply,168.0,1.2647058823529411,low peak,0.0,8.4,0.0,16.8,159.6
66,6,Rural,Regular,23,4.2,Evening,Economy,45,173.1577542620492,11.0,Higher_demand,Lower_supply,157.5,7.0,Peak hours,385.87499999999994,3.9375,4.725,1.575,550.4625
77,39,Urban,Regular,23,4.29,Morning,Economy,167,592.240499627505,1.9743589743589745,Lower_demand,Higher_supply,584.5,0.9743589743589745,low peak,0.0,14.6125,0.0,5.845,593.2674999999999
35,16,Urban,Regular,31,4.75,Afternoon,Premium,113,379.3078104185831,2.1875,Lower_demand,Higher_supply,395.5,1.1875,low peak,0.0,19.775000000000002,0.0,3.955,411.32
48,38,Rural,Gold,40,3.7,Evening,Premium,80,360.7111703191874,1.263157894736842,Lower_demand,Higher_supply,280.0,0.26315789473684204,low peak,0.0,14.0,0.0,28.0,266.0
61,18,Rural,Gold,84,3.93,Evening,Premium,58,203.49261837786293,3.388888888888889,Higher_demand,Lower_supply,203.0,2.388888888888889,low peak,169.73055555555553,10.15,0.0,20.3,362.58055555555546
71,21,Suburban,Silver,82,4.88,Afternoon,Premium,126,553.5451307734787,3.380952380952381,Higher_demand,Lower_supply,441.0,2.380952380952381,Peak hours,367.49999999999994,22.05,22.05,22.05,830.55
95,7,Rural,Gold,40,4.68,Evening,Economy,95,283.46644254307614,13.571428571428571,Higher_demand,Lower_supply,332.5,7.0,Peak hours,814.6249999999999,8.3125,9.975,33.25,1132.1625
76,44,Suburban,Gold,20,3.56,Afternoon,Premium,105,435.14534513079855,1.7272727272727273,Lower_demand,Higher_supply,367.5,0.7272727272727273,low peak,0.0,18.375,0.0,36.75,349.125
32,13,Suburban,Regular,21,4.64,Afternoon,Economy,156,685.7681264991488,2.4615384615384617,Higher_demand,Lower_supply,546.0,1.4615384615384617,low peak,279.3,13.65,0.0,5.46,833.4899999999999
49,30,Rural,Silver,57,4.83,Evening,Economy,154,630.8608868741742,1.6333333333333333,Lower_demand,Higher_supply,539.0,0.6333333333333333,low peak,0.0,13.475000000000001,0.0,26.950000000000003,525.525
38,17,Urban,Silver,92,4.41,Afternoon,Premium,138,546.1568747653598,2.235294117647059,Lower_demand,Higher_supply,483.0,1.2352941176470589,low peak,0.0,24.150000000000002,0.0,24.150000000000002,483.0
92,35,Suburban,Regular,46,4.72,Morning,Economy,45,115.35700254441711,2.6285714285714286,Higher_demand,Lower_supply,157.5,1.6285714285714286,low peak,89.77499999999999,3.9375,0.0,1.575,249.6375
40,29,Suburban,Silver,26,4.26,Night,Economy,152,404.0498951423794,1.3793103448275863,Lower_demand,Higher_supply,532.0,0.3793103448275863,low peak,0.0,13.3,0.0,26.6,518.6999999999999
55,42,Suburban,Silver,24,4.49,Afternoon,Economy,45,156.03832988580584,1.3095238095238095,Lower_demand,Higher_supply,157.5,0.30952380952380953,low peak,0.0,3.9375,0.0,7.875,153.5625
58,34,Rural,Gold,19,4.55,Morning,Premium,131,501.26295506529306,1.7058823529411764,Lower_demand,Higher_supply,458.5,0.7058823529411764,low peak,0.0,22.925,0.0,45.85,435.575
34,5,Urban,Regular,26,4.85,Evening,Premium,152,562.4369764527329,6.8,Higher_demand,Lower_supply,532.0,5.8,Peak hours,1079.9599999999998,26.6,53.2,5.32,1686.4399999999998
70,47,Suburban,Silver,3,3.66,Morning,Premium,53,216.8024750869831,1.4893617021276595,Lower_demand,Higher_supply,185.5,0.4893617021276595,low peak,0.0,9.275,0.0,9.275,185.5
51,24,Rural,Gold,25,4.68,Afternoon,Premium,16,120.09069016935676,2.125,Lower_demand,Higher_supply,56.0,1.125,low peak,0.0,2.8000000000000003,0.0,5.6000000000000005,53.199999999999996
88,56,Rural,Regular,11,4.36,Afternoon,Economy,60,221.1576532597614,1.5714285714285714,Lower_demand,Higher_supply,210.0,0.5714285714285714,low peak,0.0,5.25,0.0,2.1,213.15
25,8,Suburban,Silver,83,3.53,Evening,Economy,121,492.7012709061221,3.125,Higher_demand,Lower_supply,423.5,2.125,Peak hours,314.978125,10.5875,21.175,21.175,749.065625
34,19,Rural,Regular,51,4.2,Night,Premium,166,754.2344800100251,1.7894736842105263,Lower_demand,Higher_supply,581.0,0.7894736842105263,low peak,0.0,29.05,0.0,5.8100000000000005,604.24
40,15,Urban,Regular,90,3.62,Night,Premium,42,211.52772882563164,2.6666666666666665,Higher_demand,Lower_supply,147.0,1.6666666666666665,low peak,85.74999999999999,7.3500000000000005,0.0,1.47,238.63
26,7,Suburban,Gold,58,4.91,Afternoon,Economy,161,460.75927538572495,3.7142857142857144,Higher_demand,Lower_supply,563.5,2.7142857142857144,Peak hours,535.3249999999999,14.0875,28.175,56.35,1084.7375
81,42,Suburban,Regular,88,4.14,Afternoon,Economy,47,164.10747354764283,1.9285714285714286,Lower_demand,Higher_supply,164.5,0.9285714285714286,low peak,0.0,4.1125,0.0,1.645,166.9675
80,56,Suburban,Gold,63,4.57,Night,Premium,43,213.6962129956236,1.4285714285714286,Lower_demand,Higher_supply,150.5,0.4285714285714286,low peak,0.0,7.525,0.0,15.05,142.975
64,19,Rural,Gold,86,4.68,Night,Premium,171,732.9893961300692,3.3684210526315788,Higher_demand,Lower_supply,598.5,2.3684210526315788,low peak,496.12499999999994,29.925,0.0,59.85,1064.7
45,18,Rural,Gold,68,4.07,Morning,Economy,136,350.6012026111729,2.5,Higher_demand,Lower_supply,476.0,1.5,low peak,249.89999999999995,11.9,0.0,47.6,690.1999999999999
84,49,Urban,Regular,32,4.25,Night,Premium,53,192.8798062051633,1.7142857142857142,Lower_demand,Higher_supply,185.5,0.7142857142857142,low peak,0.0,9.275,0.0,1.855,192.92000000000002
34,16,Urban,Silver,47,4.12,Evening,Economy,93,294.11580585015537,2.125,Lower_demand,Higher_supply,325.5,1.125,low peak,0.0,8.137500000000001,0.0,16.275000000000002,317.3625
67,32,Suburban,Regular,40,4.47,Afternoon,Premium,13,82.52418774801069,2.09375,Lower_demand,Higher_supply,45.5,1.09375,low peak,0.0,2.275,0.0,0.455,47.32
93,23,Suburban,Silver,34,4.23,Evening,Premium,125,386.169069413996,4.043478260869565,Higher_demand,Lower_supply,437.5,3.0434782608695654,Peak hours,466.0326086956522,21.875,21.875,21.875,925.4076086956522
100,51,Urban,Silver,56,3.58,Night,Economy,89,310.9003272621974,1.9607843137254901,Lower_demand,Higher_supply,311.5,0.9607843137254901,low peak,0.0,7.7875000000000005,0.0,15.575000000000001,303.71250000000003
35,22,Suburban,Gold,15,4.23,Morning,Premium,120,373.96284065200393,1.5909090909090908,Lower_demand,Higher_supply,420.0,0.5909090909090908,low peak,0.0,21.0,0.0,42.0,399.0
36,13,Rural,Silver,31,4.71,Night,Economy,71,221.55110013131716,2.769230769230769,Higher_demand,Lower_supply,248.5,1.7692307692307692,low peak,153.87884615384613,6.2125,0.0,12.425,396.16634615384606
28,18,Suburban,Regular,100,3.7,Afternoon,Economy,127,531.1127009643968,1.5555555555555556,Lower_demand,Higher_supply,444.5,0.5555555555555556,low peak,0.0,11.1125,0.0,4.445,451.1675
21,9,Urban,Gold,10,3.88,Morning,Premium,108,324.9426389036563,2.3333333333333335,Higher_demand,Lower_supply,378.0,1.3333333333333335,low peak,176.4,18.900000000000002,0.0,37.800000000000004,535.5
26,15,Urban,Regular,35,5.0,Morning,Premium,161,493.4068923175674,1.7333333333333334,Lower_demand,Higher_supply,563.5,0.7333333333333334,low peak,0.0,28.175,0.0,5.635,586.04
97,21,Suburban,Regular,59,3.87,Evening,Premium,174,778.6333560141928,4.619047619047619,Higher_demand,Lower_supply,609.0,3.6190476190476186,Peak hours,771.3999999999999,30.450000000000003,30.450000000000003,6.09,1435.21
26,15,Urban,Silver,10,3.71,Morning,Premium,171,720.1572085631501,1.7333333333333334,Lower_demand,Higher_supply,598.5,0.7333333333333334,low peak,0.0,29.925,0.0,29.925,598.5
91,56,Urban,Gold,17,4.66,Night,Economy,10,38.23523523879646,1.625,Lower_demand,Higher_supply,35.0,0.625,low peak,0.0,0.875,0.0,3.5,32.375
65,48,Rural,Silver,12,4.37,Afternoon,Premium,140,573.5891064527985,1.3541666666666667,Lower_demand,Higher_supply,490.0,0.35416666666666674,low peak,0.0,24.5,0.0,24.5,490.0
88,28,Urban,Gold,22,4.99,Night,Premium,154,682.016246966075,3.142857142857143,Higher_demand,Lower_supply,539.0,2.142857142857143,low peak,404.24999999999994,26.950000000000003,0.0,53.900000000000006,916.3000000000001
82,13,Suburban,Gold,32,3.58,Night,Economy,148,516.4367273015673,6.3076923076923075,Higher_demand,Lower_supply,518.0,5.3076923076923075,Peak hours,962.2846153846153,12.950000000000001,25.900000000000002,51.800000000000004,1467.3346153846155
65,40,Urban,Silver,48,3.59,Evening,Economy,121,492.5196024192815,1.625,Lower_demand,Higher_supply,423.5,0.625,low peak,0.0,10.5875,0.0,21.175,412.91249999999997
41,6,Urban,Silver,56,4.32,Night,Economy,11,49.234784001519046,6.833333333333333,Higher_demand,Lower_supply,38.5,5.833333333333333,Peak hours,78.60416666666666,0.9625,3.85,1.925,119.99166666666666
85,36,Rural,Silver,64,4.32,Evening,Economy,152,506.6928860981053,2.361111111111111,Higher_demand,Lower_supply,532.0,1.3611111111111112,low peak,253.43888888888887,13.3,0.0,26.6,772.1388888888888
35,13,Rural,Silver,80,3.8,Afternoon,Economy,93,304.3133394836575,2.6923076923076925,Higher_demand,Lower_supply,325.5,1.6923076923076925,low peak,192.79615384615386,8.137500000000001,0.0,16.275000000000002,510.1586538461539
